Family ID	mouse<22>	<21>	baboon<16>	marmoset<18>	cat<0>	gibbon<12>	chimp<6>	<11>	orang<10>	horse<2>	<13>	macaque<14>	<17>	human<8>	<15>	<9>	cow<4>	<3>	<1>	<7>	<5>	rat<20>
242	7	7	6	7	7	6	6	7	10	7	7	7	7	6	7	7	7	7	7	6	7	7
243	6	7	8	6	7	6	7	7	8	7	7	6	7	7	7	7	7	7	7	7	7	7
244	6	6	6	7	6	7	8	7	7	6	7	9	7	5	7	7	9	7	7	7	7	6
245	6	7	7	7	7	9	5	7	7	7	7	6	7	7	7	7	6	7	7	7	7	7
246	5	6	6	9	6	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7
247	0	0	0	0	77	0	0	1	1	0	1	2	1	0	1	1	1	1	1	0	1	0
248	7	7	7	7	7	7	7	7	7	6	7	5	7	6	7	7	7	7	7	7	7	7
249	6	7	6	7	9	6	6	6	8	7	6	6	6	6	6	6	6	7	7	6	7	7
251	9	9	6	6	6	6	5	6	6	6	6	6	6	8	6	6	6	6	6	6	6	9
252	6	7	5	6	7	6	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7
253	6	6	5	6	7	5	5	6	6	9	6	6	6	6	6	6	11	8	8	6	7	6
254	10	8	6	6	6	6	6	6	5	8	6	6	6	6	6	6	6	7	7	6	7	7
255	7	7	7	7	5	7	6	6	6	5	6	8	6	6	7	6	7	6	6	6	6	7
256	6	6	5	7	7	7	6	7	8	6	7	9	7	6	7	7	5	6	6	6	6	5
257	2	2	6	12	7	5	5	5	5	11	5	4	7	5	5	5	14	9	9	5	8	1
258	7	7	8	6	7	6	4	6	6	6	6	7	6	6	7	6	6	6	6	6	6	8
259	0	1	8	6	3	1	15	9	13	2	9	12	7	13	9	12	3	3	3	13	3	1
260	5	7	6	6	6	6	6	6	7	7	6	4	6	8	6	6	6	6	6	6	6	10
261	7	6	5	5	7	8	8	7	8	6	6	6	6	6	6	7	6	6	6	7	6	5
262	5	5	7	6	11	5	6	6	6	4	6	14	6	5	8	6	4	6	6	6	6	4
263	9	9	4	5	7	5	6	6	8	6	6	6	6	5	6	6	7	7	7	6	7	9
264	5	6	6	7	7	7	6	6	6	7	6	6	6	6	6	6	7	7	7	6	7	6
265	7	7	6	6	8	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7
266	6	6	7	7	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7
267	6	6	6	6	7	8	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6
268	6	6	7	6	7	6	5	6	8	6	6	6	6	6	6	6	6	6	6	6	6	6
269	4	4	4	8	4	4	13	6	6	2	6	10	6	11	6	6	4	4	4	11	4	5
270	6	6	6	8	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6
271	7	6	7	6	7	5	6	6	7	6	6	4	6	8	6	6	6	6	6	6	6	6
272	7	7	6	6	6	6	6	6	6	6	6	5	6	6	6	6	7	6	6	6	6	7
273	6	6	6	6	8	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
274	7	7	6	6	7	6	5	6	6	5	6	6	6	7	6	6	6	6	6	6	6	7
275	8	6	5	9	4	6	3	6	4	4	6	14	6	7	7	6	5	5	5	6	5	5
277	7	6	6	6	6	7	6	6	7	6	6	6	6	5	6	6	6	6	6	6	6	6
278	5	5	4	3	6	4	8	5	5	7	5	6	5	9	5	5	11	7	7	8	6	5
279	6	6	6	6	6	6	6	6	5	7	6	6	6	6	6	6	6	6	6	6	6	7
280	6	6	6	7	4	6	5	6	6	7	6	6	6	7	6	6	7	6	6	6	6	6
281	6	6	6	5	6	6	6	6	6	6	6	7	6	7	6	6	6	6	6	6	6	6
282	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
283	0	0	0	5	0	0	11	4	32	0	3	1	3	24	1	14	0	0	0	14	1	0
284	6	6	6	7	7	6	6	6	6	7	6	5	6	5	6	6	6	6	6	6	6	6
285	7	7	6	6	6	4	6	6	5	5	6	7	6	6	6	6	8	6	6	6	6	7
286	6	6	6	5	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6
287	6	6	6	6	6	7	4	6	7	6	6	8	6	5	6	6	5	6	6	5	6	6
288	5	6	6	7	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7
289	6	6	6	6	6	8	6	6	6	7	6	5	6	4	6	6	6	6	6	6	6	6
290	5	5	7	12	5	5	4	5	5	5	6	6	7	5	6	5	8	6	6	5	6	5
291	6	6	6	7	6	5	5	5	5	5	6	6	6	6	6	5	7	6	6	5	6	7
292	7	7	6	5	8	5	5	5	6	6	5	4	5	5	5	5	7	6	6	5	6	7
293	4	5	8	6	5	6	5	6	7	7	6	5	6	6	6	6	7	6	6	6	6	5
294	7	7	7	5	3	6	6	6	5	5	6	6	6	7	6	6	7	6	6	6	6	7
295	6	6	7	6	6	6	6	6	5	6	6	5	6	6	6	6	6	6	6	6	6	6
296	6	6	6	5	6	6	5	6	8	6	6	5	6	5	6	6	6	6	6	5	6	7
297	7	7	6	5	6	5	5	5	4	7	5	7	5	5	6	5	7	6	6	5	6	7
298	6	6	6	6	5	5	5	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6
299	6	6	6	6	5	4	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6
300	4	5	6	5	13	5	6	5	6	5	5	5	5	3	5	5	7	7	7	5	6	5
301	6	6	6	6	6	6	5	6	6	6	6	6	6	5	6	6	6	6	6	5	6	6
302	6	6	6	6	6	6	7	6	6	6	6	3	6	6	6	6	6	6	6	6	6	6
303	32	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
304	2	4	7	6	7	5	6	6	7	8	6	6	6	7	6	6	5	6	6	6	6	4
305	4	5	4	10	4	4	4	6	13	4	6	8	6	4	6	6	5	5	5	4	5	6
306	11	7	6	2	3	4	2	4	4	8	4	8	4	14	6	4	2	4	4	4	4	5
307	1	1	8	7	2	4	6	6	6	6	7	8	7	6	8	6	15	6	6	6	6	0
308	6	5	8	5	5	5	5	6	6	2	6	11	6	6	8	6	6	5	5	6	5	4
309	4	5	4	4	7	4	4	5	7	5	5	16	5	4	6	5	5	5	5	4	5	5
310	5	6	4	3	12	4	7	5	4	4	5	6	5	8	5	5	6	6	6	7	6	6
311	5	6	5	6	6	6	6	6	6	6	6	5	6	6	5	6	6	6	6	6	6	6
